,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.855587804053,0.369322807834,0.0274710430054,0.0343143819268
dermatology,None,0.99638009438,0.070830696413,0.00617020330861,0.165551152156
dermatology,beta,0.99610982411,0.0251663814266,0.00630294148065,0.036179748062
dermatology,beta05,0.99638009438,0.0253597958904,0.00617020330861,0.0365154539107
dermatology,beta2,0.99610982411,0.0267052329882,0.00630294148065,0.0408295325074
dermatology,isotonic,0.99610982411,0.0798878603394,0.00630294148065,0.176438875598
dermatology,sigmoid,0.99638009438,0.0361052645499,0.00617020330861,0.0149287517249
diabetes,None,0.755469824293,0.559196780388,0.0306990090452,0.069206173405
diabetes,beta,0.754816229522,0.492964844805,0.0272983005551,0.0257612024577
diabetes,beta05,0.755077667431,0.492406828558,0.02940719428,0.02633061907
diabetes,beta2,0.755594601477,0.493801024719,0.0313035654395,0.0251684049818
diabetes,isotonic,0.75350140056,0.533835733037,0.0317715855449,0.0989872031311
diabetes,sigmoid,0.754681266446,0.50618908243,0.0308852205618,0.0252672552159
ecoli,None,0.95698600491,0.7409187269,0.024604600433,0.748127751538
ecoli,beta,0.957846657471,0.154433150065,0.0232186870884,0.070935810231
ecoli,beta05,0.957262684752,0.154870776585,0.024588700889,0.0712236645715
ecoli,beta2,0.957258294936,0.153536928555,0.0251805069124,0.0702029373375
ecoli,isotonic,0.957895374148,0.179975473672,0.0255930072538,0.252005788043
ecoli,sigmoid,0.956379944304,0.174886437597,0.0242752938929,0.0541825890625
flare,None,0.823105365071,0.405611418979,0.0113622903999,0.0260612757769
flare,beta,0.823033680483,0.405703023298,0.011126703988,0.0226139936192
flare,beta05,0.823032901303,0.404934524321,0.0114250036288,0.023499907232
flare,beta2,0.823033680483,0.405593189617,0.011126703988,0.0229992452883
flare,isotonic,0.8212213071,0.42602333956,0.014150862256,0.0725311689413
flare,sigmoid,0.820792774512,0.408750095732,0.0128639171217,0.0242785784982
german,None,0.7561,0.533572327991,0.0207337347119,0.0485069813736
german,beta,0.7446,0.515107498076,0.0193475200119,0.0210046257892
german,beta05,0.7519,0.515844436373,0.021210557633,0.0229381747567
german,beta2,0.7441,0.514632862981,0.0183417111346,0.0207024982766
german,isotonic,0.7477,0.521405740404,0.0206083498037,0.0466692381975
german,sigmoid,0.7486,0.514807940594,0.0197701073051,0.0185181744026
glass,None,0.798875180375,1.39677937478,0.0525197672293,0.933687190328
glass,beta,0.806010319138,0.482337047204,0.0475683996404,0.0518020407139
glass,beta05,0.810450652706,0.483156221628,0.055893207206,0.053389790655
glass,beta2,0.80796436122,0.484031315209,0.0514707638553,0.0541300940261
glass,isotonic,0.798036326722,0.539984685275,0.0419144346112,0.255131991335
glass,sigmoid,0.797862629618,0.495630914519,0.0543310775618,0.0474046373487
heart-statlog,None,0.794444444444,0.997806591802,0.0518747924633,0.515881683879
heart-statlog,beta,0.8,0.452715436689,0.042821201207,0.0493484507149
heart-statlog,beta05,0.801481481481,0.452459671973,0.0477716543505,0.0497121943335
heart-statlog,beta2,0.801851851852,0.451230649283,0.0469157350555,0.048654716349
heart-statlog,isotonic,0.787777777778,0.537695523028,0.0466104233414,0.245433450631
heart-statlog,sigmoid,0.795185185185,0.489793512673,0.0503910966206,0.0458544079713
hepatitis,None,0.831997311828,1.86833637345,0.0657742861756,1.34988873813
hepatitis,beta,0.811057795699,0.402789295212,0.0561491690646,0.0666295460148
hepatitis,beta05,0.812474462366,0.403878620331,0.0569864749214,0.0673020295079
hepatitis,beta2,0.820766129032,0.402251415154,0.0559969760566,0.066249371358
hepatitis,isotonic,0.827803763441,0.415537969701,0.0523424936437,0.20630213492
