,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
ionosphere,0.572082848395,0.0168755478011,0.0162998032877,0.016447204119,0.0119325380974,0.00196865456634,0.000558550116538,0.000378663878708
iris,0.00486949932436,0.00133248148336,0.00104688595823,0.00125832606346,0.000133587214671,5.63607144612e-05,1.68652004909e-05,2.3331402995e-05
landsat-satellite,1.67044915414,0.0466498828279,0.045228093943,0.0463584646174,0.0144167189524,0.00113848260059,0.0012704849675,0.00154762230952
letter,3.35620158396,0.12912006979,0.143420755717,0.128660471083,0.0310058209284,0.00290055270395,0.0062810325327,0.00309453103391
libras-movement,0.670910333385,0.0186015292246,0.0182769333402,0.018482578129,0.0116860954287,0.000448886176761,0.000532350465549,0.00023135099027
lung-cancer,0.0384963069397,0.001618295958,0.00136362019124,0.00164283881562,0.0016305174938,4.78441966417e-05,4.70971040589e-05,0.000194148113623
mfeat-karhunen,2.84891951557,0.031298027745,0.0301677118078,0.0309219616496,0.0122915085434,0.00179527818903,0.000480794279989,0.000791549152206
mfeat-morphological,0.838163271241,0.0192647337541,0.0183168916029,0.0191569080241,0.0109750637771,0.000727874406623,0.00033012893628,0.000537456347272
mfeat-zernike,2.40176884419,0.0279222592839,0.0273822616788,0.0279367886282,0.0167020667897,0.000430700889312,0.000927258605636,0.000715263937127
mushroom,1.20209424403,0.0474752262191,0.0454518875831,0.0477042951711,0.0112163378744,0.00125206818494,0.00191069539361,0.00225367597915
optdigits,1.32467072065,0.0559456594995,0.0543992405193,0.0554567215751,0.0173122257795,0.00131248617986,0.000979131910089,0.000433882149388
page-blocks,1.33498746173,0.0298765672841,0.0287132207797,0.0296375087665,0.00919489942795,0.00122940676258,0.00146893377599,0.00132157840247
pendigits,1.39165468603,0.0577052154428,0.0587256153675,0.0529061904518,0.0157337042443,0.00282025673128,0.00333589061835,0.000431537722712
scene-classification,10.6690013958,0.0765956141702,0.0759278835462,0.0763986384085,0.0326880225365,0.00213913120721,0.00188546701607,0.0027847359696
segment,1.31658201536,0.0249274798583,0.023985196969,0.0248676758865,0.0118083784661,0.000998912535284,0.000504776890425,0.000994758936909
shuttle,6.06153899865,0.324442729341,0.29309968355,0.287546870563,0.0406648223929,0.0113580259403,0.0107466458022,0.00730073908323
sonar,1.29937043841,0.0157019414653,0.0152998272352,0.0157480747849,0.0134963789838,0.00113046049848,0.000171282371891,0.00132102873032
spambase,1.46672037769,0.0451280785481,0.0440602487128,0.0448860300029,0.0127271883604,0.00127980628643,0.000799324304991,0.00109147542225
tic-tac,1.07656201228,0.017112663143,0.0165774926874,0.0169741468672,0.0112328355693,0.000935233783659,0.000186024308146,0.000767825156206
vehicle,0.743526368006,0.017529905407,0.0171502437522,0.0173585261969,0.0130576411853,0.000338776942833,0.000570935740307,0.00024646448816
vowel,0.455586794615,0.0172351379552,0.0168041566172,0.017161577804,0.0096960803865,0.000424113069306,0.000334422095167,0.000735143014461
waveform-5000,2.53762355074,0.0424397872086,0.0413538461538,0.0422286960538,0.013958604714,0.00122216308093,0.00119197249712,0.00160196326115
wdbc,0.694765525735,0.0174867176408,0.0171620978088,0.0174338071535,0.0119214718491,0.000366937766242,0.000478488695496,0.000332934168952
wpbc,0.676985426182,0.0150406219531,0.0147172952909,0.014864241118,0.0119391048524,0.000983196310827,0.000295273629685,0.000175296477049
yeast,0.606786113819,0.0180237354818,0.0176659858709,0.0178813841706,0.0127723201734,0.000527321474127,0.00048609404799,0.000277959224487
zoo,0.00293651494157,0.00129518482407,0.00104047826756,0.00123999247362,0.000172895164129,5.48209145504e-05,4.49490966602e-05,6.79370142301e-05
