,,mean,mean,std,std
,,acc,loss,acc,loss
dermatology,None,0.98825010725,0.28190744329,0.0118108564229,0.340480561075
dermatology,beta,0.98825010725,0.0597170530382,0.0118108564229,0.0464779265059
dermatology,beta05,0.98825010725,0.0600668911789,0.0118108564229,0.0455443522598
dermatology,beta2,0.98825010725,0.0573637865105,0.0118108564229,0.0423235500231
dermatology,isotonic,0.98825010725,0.0813385258445,0.0118108564229,0.117530648151
dermatology,sigmoid,0.98825010725,0.0616978677016,0.0118108564229,0.0473353783662
diabetes,None,0.753374076903,0.61092363277,0.0354469045003,0.116466697208
diabetes,beta,0.747387318564,0.501661299034,0.0350692892554,0.0322551155973
diabetes,beta05,0.753764536117,0.502074216204,0.0360038081883,0.0311369526578
diabetes,beta2,0.747003649945,0.528061381678,0.0294702904692,0.0426690492564
diabetes,isotonic,0.752855445208,0.564962561679,0.0338778287093,0.154389206558
diabetes,sigmoid,0.753116034293,0.515883456257,0.0329367853734,0.0339621909579
ecoli,None,0.656035497045,1.37691186042,0.0874149711809,0.324181674856
ecoli,beta,0.959643967756,0.125970325886,0.0259110195015,0.0754134352013
ecoli,beta05,0.771995823291,0.444613828423,0.0408963934366,0.0645743134193
ecoli,beta2,0.959643967756,0.125400624025,0.0259110195015,0.0755412290483
ecoli,isotonic,0.957236455748,0.364490079031,0.0290512188473,0.470794780913
ecoli,sigmoid,0.937328349133,0.272138863847,0.0306451035831,0.0640630234966
flare,None,0.510191164427,2.02131295901,0.0317732487686,0.801357984407
flare,beta,0.822891073909,0.421782716868,0.0113316749267,0.0236219974981
flare,beta05,0.525315037517,0.582786650471,0.0436134590531,0.0231486852853
flare,beta2,0.822891073909,0.438818166472,0.0113316749267,0.0285244909176
flare,isotonic,0.820781186277,0.428917744766,0.0127575235111,0.0432628501239
flare,sigmoid,0.71489245654,0.546445179263,0.00140142391103,0.015536840499
german,None,0.7305,0.786457320564,0.0278525637262,0.195919376535
german,beta,0.7248,0.537328636198,0.0200499376558,0.0265758395954
german,beta05,0.7345,0.564186017132,0.0229518128758,0.0473128150571
german,beta2,0.7107,0.560086079146,0.0135152974553,0.0226562444928
german,isotonic,0.7393,0.551434690949,0.0228573660703,0.0823328604063
german,sigmoid,0.7394,0.522896521625,0.0229159956612,0.0244855201819
glass,None,0.585841588644,1.17786758412,0.0529151003864,0.775803180819
glass,beta,0.64093056814,0.592026718355,0.0388780041994,0.0544418634503
glass,beta05,0.597199067083,0.608557754094,0.0655645542354,0.0513235340033
glass,beta2,0.644805966643,0.591577545916,0.0329418487527,0.0515646276878
glass,isotonic,0.640294137387,0.752570561828,0.058332877011,0.449210983654
glass,sigmoid,0.633722557804,0.598383239853,0.0361611210886,0.0432941525188
heart-statlog,None,0.842962962963,0.568118314997,0.0505062415398,0.205667618735
heart-statlog,beta,0.845185185185,0.396961337069,0.0471404520791,0.0788286149396
heart-statlog,beta05,0.84,0.395336777879,0.051943553508,0.0770527501603
heart-statlog,beta2,0.845555555556,0.394941181489,0.0440474204359,0.076693903158
heart-statlog,isotonic,0.843333333333,0.506502277679,0.0503633114969,0.438111523654
heart-statlog,sigmoid,0.841851851852,0.406797065679,0.0460058919062,0.0802972942971
hepatitis,None,0.597900537634,2.830653824,0.105986160022,1.64350967879
hepatitis,beta,0.835178763441,0.386784575724,0.0562606576715,0.156359386903
hepatitis,beta05,0.704471774194,0.513941348786,0.10056627926,0.086664291033
hepatitis,beta2,0.847569892473,0.383790779512,0.0517434239852,0.0929246558667
hepatitis,isotonic,0.841576612903,0.540105014398,0.0615859093923,0.655183075378
