,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
german,0.197456674166,0.177532245584,0.183537659179,0.186399574041,0.174213484724,0.173601725555,0.023543256497,0.00814250664823,0.0105696941896,0.00663754911851,0.0112401249526,0.00969621911897
glass,0.302585146735,0.208279395782,0.21290815444,0.203964368626,0.208801263057,0.207575468962,0.0686414916479,0.0172321427649,0.0155360133226,0.0141495052278,0.0241814656273,0.0163039671364
heart-statlog,0.129769018511,0.12204909836,0.121848004893,0.1216450356,0.122870244549,0.122844819786,0.038929141991,0.0277221709595,0.0274631067434,0.0267437633911,0.0300467912454,0.0311329640527
hepatitis,0.308210566146,0.111808088324,0.167735608584,0.114398946685,0.113884716353,0.128242661086,0.096939532171,0.0332403648622,0.0284560183898,0.0269601048109,0.0419577211638,0.0212717696569
horse,0.384340841056,0.151810456154,0.218567706782,0.16056117011,0.149271567253,0.202059484632,0.104302581833,0.0197561912224,0.0247338297287,0.0156716963468,0.0225987491757,0.018716549111
ionosphere,0.0987968057842,0.0869103606048,0.0878229355488,0.0867710713057,0.0853949220253,0.0895357834298,0.0301385243697,0.0211866852394,0.0206143315178,0.0207022882553,0.0226929899444,0.024344191526
iris,7.4091661383e-05,6.30887365172e-05,7.49770208018e-05,7.53688480169e-05,0.00129631217262,7.40759796659e-05,0.00052378364963,0.00044365578348,0.000526586178489,0.000528243045729,0.00222126239267,0.000523794964109
landsat-satellite,0.0595205022423,0.0499091999538,0.0508860980275,0.0501464538738,0.0497699281546,0.0566900496082,0.00617334837784,0.00486634152292,0.0047027096963,0.00471831180901,0.00485072235789,0.00551661151096
letter,0.020700848888,0.0206805040033,0.0210483021952,0.0206335202697,0.0195799896454,0.0214416395023,0.000793790103648,0.000808020929349,0.000886347268785,0.000674792327595,0.000762347554534,0.000957095142543
libras-movement,0.037522348342,0.0294015970382,0.0345840551941,0.0306822469339,0.0290240119091,0.0337809374178,0.0207988664277,0.0143049944268,0.0145472082504,0.0128066778014,0.0149934997107,0.0142506868717
lung-cancer,0.038556479859,0.038741900956,0.0388701454419,0.0370398107937,0.0414058969411,0.0405686732222,0.0233886523973,0.0207063779538,0.0206161261339,0.020769606695,0.0212056493197,0.0208537122415
mfeat-karhunen,0.0128883496619,0.0127333614707,0.0126235023789,0.0128861985871,0.0128263238806,0.0136211580509,0.00482789376425,0.00420274312174,0.00408286339125,0.00374495673145,0.00448778080712,0.00515567719537
mfeat-morphological,0.0015,0.00149983814799,0.00149983810132,0.00149983470382,0.00150317874724,0.0014998328748,0.00195615199109,0.00195220943351,0.00195220950725,0.00195229319003,0.00194915647533,0.00195220907186
mfeat-zernike,0.0707614375527,0.0236643284185,0.0419654517618,0.0252095444265,0.0217257879147,0.0433817603737,0.00826885306037,0.00542311371699,0.00409530794789,0.00486465157672,0.00550026786961,0.00357738339158
mushroom,0.0782553275768,0.0736213306355,0.0961682039439,0.0794625985376,0.0621104432065,0.0707163298441,0.00848227562871,0.00460844488031,0.00523297249946,0.00428536666251,0.0039853098808,0.00557923338739
optdigits,0.424952512164,0.0759257341807,0.0960928548238,0.0772991025571,0.0835714394067,0.0825144353678,0.0204448728632,0.0023021806461,0.00183450162276,0.0020547735727,0.00602526688389,0.000897017221968
page-blocks,0.0909552320915,0.0624669307757,0.0629037936216,0.0641070965089,0.0565985972452,0.071778462532,0.00933798252414,0.00397831206316,0.00407590044917,0.00398760905295,0.00340148336593,0.00383052599471
pendigits,0.0265098835931,0.0223375134655,0.0224248706559,0.0225127078212,0.0257710128468,0.0230185056256,0.00216650622934,0.00169290132936,0.00160321019702,0.00178324180858,0.00219781952783,0.00171845315317
scene-classification,0.382020287062,0.147560197966,0.159986349838,0.148196380543,0.159986950192,0.151950364744,0.0212961382165,0.00444155289373,0.00431705139796,0.00426358567647,0.00767958616006,0.0037478754
segment,0.147704482521,0.0302625911814,0.0821854344778,0.0305837138322,0.0292210215179,0.0657413585851,0.0134871425379,0.00551387751581,0.00525495444456,0.00529646690514,0.005839216233,0.0044904734122
shuttle,0.0980512386925,0.083316165814,0.0828248697603,0.0826201317466,0.0690567458434,0.0900312405738,0.0014142553025,0.000981745644145,0.000963413088448,0.000992744380563,0.000705639809482,0.00115811854146
