,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
page-blocks,89.8795770514,90.9264486546,89.9125122834,92.1031344463,92.1469784776,91.1385016248,1.01387293303,1.02667931215,1.01648526458,0.497856088348,0.463370897564,0.93685193701
pendigits,97.232551298,97.1870760519,97.2343669963,97.1634272694,96.0627638003,97.2161723451,0.235405744381,0.253918252012,0.233229094586,0.274247899889,0.546451207508,0.247447067596
scene-classification,60.5967927511,77.8563468512,77.7981605289,77.8563468512,73.9724121744,77.8563468512,2.16118561683,0.0702327514287,0.126014081175,0.0702327514287,3.86222188773,0.0702327514287
segment,83.7532467532,96.0952380952,84.1255411255,96.012987013,96.4285714286,90.038961039,1.53266293165,0.846773878875,1.51016432133,0.872500363155,0.752669229724,1.36018576264
shuttle,89.4575411145,89.4894616029,89.4643394839,89.713105503,89.9156660329,89.5212837686,0.172497882731,0.146190088527,0.171343694266,0.164722507359,0.162198015043,0.199171848931
sonar,68.1247332739,71.2249142425,68.7441590363,70.0782486562,73.0081030711,69.5904437782,7.38166335092,7.46973391686,6.92637514496,7.55796892364,7.08246356965,7.85403581305
spambase,81.3867454947,84.2099269966,82.0670085858,83.4078962759,66.457328045,82.3169025483,1.2718894543,1.11627026583,1.14720165107,1.09909325945,7.90629564366,1.15062239231
tic-tac,71.313993989,71.3769842615,71.4185441138,71.4601017054,71.5426260184,71.4708433366,1.8371488669,2.67876828622,1.81192308432,2.74795286885,2.41475220601,2.78906312764
vehicle,80.9800229071,82.0354835627,81.715691661,81.4348201093,82.2231077878,81.5724300683,3.52679219245,2.86107967042,3.82469808963,2.77096888277,2.92729971801,2.83740712015
vowel,95.0101010101,95.3232323232,95.0404040404,95.3232323232,95.3535353535,95.3636363636,1.30525841855,1.3758169352,1.32524580045,1.3758169352,1.27850253583,1.31736627403
waveform-5000,85.5898683919,86.3878430018,85.6418584379,86.3678969799,86.2878768999,86.3458209798,1.1742289936,1.15175187131,1.18056689484,1.09898813073,1.17377220903,1.1356104727
wdbc,93.355598307,93.3375913813,93.3732974221,93.4627164294,93.2490958061,93.355598307,2.00506566277,1.95867458023,2.09089617606,2.04713550512,1.97872260912,2.12619599397
wpbc,67.516194332,75.6771929825,71.7089068826,76.0942645074,76.1889338731,76.2955465587,6.21451011939,2.75082490088,5.87644500297,1.6287006935,4.30718639925,0.709534074401
yeast,49.2599985405,69.1168450652,68.7663639006,68.4697264214,69.6063496071,68.6583587139,10.0566501966,1.36225469426,0.518100226811,0.66518835774,2.13923708812,0.487531371701
zoo,98.2581681476,98.2581681476,98.2581681476,98.2581681476,98.2581681476,98.2581681476,3.02441564798,3.02441564798,3.02441564798,3.02441564798,3.02441564798,3.02441564798
