,,mean,mean,std,std
,,acc,loss,acc,loss
dermatology,None,0.98825010725,0.28175344429,0.0118108564229,0.340420357132
dermatology,beta,0.98825010725,0.0597614413823,0.0118108564229,0.0465570696063
dermatology,beta05,0.98825010725,0.0600596116355,0.0118108564229,0.045544857383
dermatology,beta2,0.98825010725,0.0573478675166,0.0118108564229,0.0423264799271
dermatology,isotonic,0.98825010725,0.0813385258445,0.0118108564229,0.117530648151
dermatology,sigmoid,0.98825010725,0.0616978677016,0.0118108564229,0.0473353783662
diabetes,None,0.753894406247,0.611758715755,0.0358920552187,0.11564796536
diabetes,beta,0.748298955946,0.501829602544,0.0339793164585,0.032056341879
diabetes,beta05,0.754542908072,0.502224284427,0.0358022353066,0.0311127714822
diabetes,beta2,0.74686698922,0.528312666123,0.0292857571116,0.0424669267028
diabetes,isotonic,0.750376878024,0.56988665557,0.0339846774423,0.162872996311
diabetes,sigmoid,0.752725575079,0.516382688586,0.0335781959595,0.0339919667082
ecoli,None,0.656035497045,1.37635546362,0.0874149711809,0.324384647627
ecoli,beta,0.959942475219,0.125970057117,0.0259450102066,0.075452499098
ecoli,beta05,0.771995823291,0.444694330203,0.0408963934366,0.064567059127
ecoli,beta2,0.959942475219,0.12537191637,0.0259450102066,0.0755425090378
ecoli,isotonic,0.957525778366,0.364495360707,0.0287936398873,0.470789872024
ecoli,sigmoid,0.93702984167,0.27210864415,0.0311295013536,0.0640515074209
flare,None,0.509176671673,2.04741467018,0.0332597438064,0.830563053311
flare,beta,0.822891073909,0.421239418887,0.0113316749267,0.0233231420044
flare,beta05,0.524589620655,0.582143281566,0.0378758568151,0.0226039831374
flare,beta2,0.822891073909,0.439461849597,0.0113316749267,0.0289198474269
flare,isotonic,0.819553977301,0.425291947286,0.013107549533,0.0253225608679
flare,sigmoid,0.71489245654,0.547521502913,0.00140142391103,0.0161496201807
german,None,0.7293,0.785651468851,0.0277012119384,0.19784644551
german,beta,0.7251,0.53587427961,0.019730066148,0.025662776811
german,beta05,0.7343,0.564427650972,0.0233869403641,0.0454831052763
german,beta2,0.7098,0.560587148202,0.012974071474,0.0226849999303
german,isotonic,0.7402,0.550254072679,0.0224281164649,0.083095566833
german,sigmoid,0.7399,0.522943448698,0.0232662056754,0.0245259017559
glass,None,0.586726366657,1.17859388823,0.0525140468682,0.774452321496
glass,beta,0.638797493204,0.598712095544,0.0360484270743,0.0531745920106
glass,beta05,0.599062703446,0.608830925203,0.0669562951382,0.0513932500385
glass,beta2,0.645702322226,0.590801768886,0.0334693126279,0.0518928544213
glass,isotonic,0.638242441022,0.76942343696,0.0631171126737,0.461324915264
glass,sigmoid,0.635209319105,0.597773456267,0.0376931364359,0.0435864058749
heart-statlog,None,0.842962962963,0.567762772765,0.0505062415398,0.204936970512
heart-statlog,beta,0.844814814815,0.396818504865,0.0473079195127,0.0787398484351
heart-statlog,beta05,0.84,0.395023495017,0.051943553508,0.0768145843901
heart-statlog,beta2,0.845925925926,0.394788460786,0.0440204008888,0.0765417317088
heart-statlog,isotonic,0.843333333333,0.507513953755,0.0502241553083,0.440059746432
heart-statlog,sigmoid,0.841481481481,0.406846152428,0.0463015869993,0.0803358563412
hepatitis,None,0.604190860215,2.74567917422,0.107785505922,1.77568702823
hepatitis,beta,0.843428763441,0.365366865957,0.0553792806011,0.103274044009
hepatitis,beta05,0.722208333333,0.503232363863,0.0863263079922,0.0831221073705
hepatitis,beta2,0.843592741935,0.37722021131,0.0503490137284,0.0904117792083
hepatitis,isotonic,0.844159946237,0.467460329866,0.0579165041311,0.441649239344
