,mean,mean,mean,mean,mean,std,std,std,std,std
,time,time,time,time,time,time,time,time,time,time
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
iris,0.000442094153611,0.00176121284586,0.00127451106167,0.00128593409093,0.00589600732798,3.98511886758e-05,6.69553724838e-05,4.91327304374e-05,4.02814911816e-05,0.000959363140799
landsat-satellite,0.0401381232055,0.00450328724266,0.00364092892936,0.00351483770763,0.00997613616634,0.00247941338737,0.000462425705088,0.000380589513131,0.000360234465483,0.000808913676027
letter,0.190493528575,0.0173537162049,0.0152299119838,0.0137747501105,0.0265334390451,0.0115677086132,0.0016859100791,0.00163229685726,0.000905029475955,0.00195359567552
libras-movement,0.00756771754088,0.00264081004638,0.0015344901759,0.0015101388365,0.00465609035791,0.000595915882338,0.000352835779602,0.00015358126734,0.000144783710496,0.000787871148179
lung-cancer,0.150517674649,0.00333674929461,0.00160584391092,0.0016807487404,0.00881687146184,0.00556659453737,0.000428647011698,0.00014768537515,0.000155125180111,0.00113858044196
mfeat-karhunen,0.0258744133895,0.00320679908007,0.00232670239998,0.00222685438203,0.00671867412123,0.00234174224337,0.000358120029766,0.000422730838256,0.000238213167291,0.000857481523776
mfeat-morphological,0.00206844751658,0.00294395993216,0.00204250879007,0.00206208428376,0.00738428880182,7.71102864519e-05,0.000560031601298,0.000168855338145,0.00038481690959,0.000856445659142
mfeat-zernike,0.0183182557216,0.00320569406705,0.00229068513373,0.00227535179526,0.0075477999379,0.00196892070045,0.000348425191507,0.000217003193497,0.000344636038504,0.000962498677876
mushroom,0.0526650330948,0.00673150321967,0.00475951683905,0.00422295262556,0.0111761426664,0.00629800457795,0.000719685315097,0.000414409355347,0.000416169570547,0.00136843012504
optdigits,0.093664238546,0.00441800965946,0.00359947896755,0.00346786952294,0.00901789830288,0.00512659785929,0.000401785167343,0.000344769905007,0.000311087346713,0.00066234447574
page-blocks,0.0100216435444,0.0036462726765,0.00274615576065,0.00265178149138,0.00649750730617,0.000447004542825,0.000155371680158,7.51338937487e-05,7.22111649985e-05,0.000229953526964
pendigits,0.040232760899,0.00725625097822,0.00600498966402,0.00568262692041,0.0148963246343,0.00276452886046,0.000576982636075,0.000542965451748,0.000463061064435,0.00126648144988
scene-classification,0.411915348477,0.00316331356797,0.00241575344868,0.00245404232063,0.00479731307362,0.0119450883457,0.000344026028637,0.000228983977586,0.00021655205543,0.000417446244423
segment,0.00641229472373,0.00316490779727,0.00222684411876,0.00209777654619,0.00733055711643,0.000357369475095,0.000271843900136,0.00033568584023,0.000118157644273,0.00119169091817
shuttle,0.768385177431,0.0511519589606,0.0412495336623,0.0385404693911,0.0996499435092,0.216903721901,0.00284506827511,0.00280270892239,0.00249391321127,0.00617859521899
sonar,0.00239541505127,0.0019009815971,0.00127928006521,0.00129023098365,0.00298746597081,0.00013929017546,0.000187671577896,9.94811658457e-05,8.31188301984e-05,0.000177247918091
spambase,0.0718985030153,0.00441428408927,0.00307482699961,0.00291685119187,0.00756443329168,0.00465953255514,0.000483206338683,0.000311072103554,0.00028594837124,0.000795084388749
tic-tac,0.000864664129928,0.00253575170391,0.00137423592028,0.00133833155009,0.00308331131005,4.42074576199e-05,0.000268837168281,4.47341021531e-05,3.95487207633e-05,0.000104443305052
vehicle,0.00254388022069,0.00240088195775,0.00144908943336,0.00143677349884,0.00420557689462,8.48060110633e-05,0.000214175382428,6.36525690829e-05,6.69798424049e-05,0.000162711961492
vowel,0.00153999129332,0.00215018084752,0.00146731701643,0.00145233605054,0.00347405143784,0.000109845195849,0.000196967326596,7.46753514586e-05,7.01378984763e-05,0.000201706701027
waveform-5000,0.02089599792,0.00459280698108,0.00321719920254,0.00310382760429,0.00762214712923,0.00171496363554,0.000412176107941,0.000467111658848,0.00098547730953,0.000737520040112
wdbc,0.00233786200509,0.00209910050915,0.00143818298913,0.00141158741277,0.00465064397798,0.000101047230706,0.000158444646711,2.84085019647e-05,2.84389431168e-05,0.000439724408936
wpbc,0.00138887819797,0.00227304939973,0.00128014218062,0.00129501025045,0.0027770550719,4.24914008957e-05,0.000283552758021,4.97438315843e-05,4.08643582199e-05,0.000121646509683
yeast,0.00153880759517,0.00317109313327,0.0016360521614,0.00159503667839,0.00341222202551,0.000112841399189,0.000230981112184,5.40850774288e-05,4.7653268391e-05,0.000174632625916
zoo,0.00052366669318,0.00180383624255,0.0013025229705,0.00131778104492,0.00542322254979,3.03909369097e-05,3.22769476616e-05,5.00284410868e-05,5.04492087596e-05,0.000178001185791
