,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
horse,0.00117566200286,0.00127509948966,0.00104428519257,0.00298203669635,3.68721784544e-05,2.57171862257e-05,2.03474630933e-05,0.000126037249902
ionosphere,0.00197016978029,0.00127016627367,0.00103218820801,0.00348359970818,0.000100903804412,4.2476262995e-05,3.1091482437e-05,0.000169247934948
iris,0.000442094153611,0.00128593409093,0.00102878079946,0.00589600732798,3.98511886758e-05,4.02814911816e-05,6.61904721434e-05,0.000959363140799
landsat-satellite,0.0401381232055,0.00351483770763,0.00196054282481,0.00997613616634,0.00247941338737,0.000360234465483,0.000165428363844,0.000808913676027
letter,0.190493528575,0.0137747501105,0.00606031899981,0.0265334390451,0.0115677086132,0.000905029475955,0.000452902105242,0.00195359567552
libras-movement,0.00756771754088,0.0015101388365,0.00118838846852,0.00465609035791,0.000595915882338,0.000144783710496,0.000109775010209,0.000787871148179
lung-cancer,0.150517674649,0.0016807487404,0.00145445712815,0.00881687146184,0.00556659453737,0.000155125180111,0.000130946606773,0.00113858044196
mfeat-karhunen,0.0258744133895,0.00222685438203,0.00148471327393,0.00671867412123,0.00234174224337,0.000238213167291,0.000170876745859,0.000857481523776
mfeat-morphological,0.00206844751658,0.00206208428376,0.00121355744913,0.00738428880182,7.71102864519e-05,0.00038481690959,5.77652217085e-05,0.000856445659142
mfeat-zernike,0.0183182557216,0.00227535179526,0.00146879492857,0.0075477999379,0.00196892070045,0.000344636038504,0.000143399775483,0.000962498677876
mushroom,0.0526650330948,0.00422295262556,0.00228101712514,0.0111761426664,0.00629800457795,0.000416169570547,0.000216698293553,0.00136843012504
optdigits,0.093664238546,0.00346786952294,0.00190116291501,0.00901789830288,0.00512659785929,0.000311087346713,0.000142993840793,0.00066234447574
page-blocks,0.0100216435444,0.00265178149138,0.00166638699232,0.00649750730617,0.000447004542825,7.22111649985e-05,6.16491060299e-05,0.000229953526964
pendigits,0.040232760899,0.00568262692041,0.00256692128151,0.0148963246343,0.00276452886046,0.000463061064435,0.000206878812425,0.00126648144988
scene-classification,0.411915348477,0.00245404232063,0.00182370595022,0.00479731307362,0.0119450883457,0.00021655205543,0.000205420135862,0.000417446244423
segment,0.00641229472373,0.00209777654619,0.00132390480125,0.00733055711643,0.000357369475095,0.000118157644273,5.73611753498e-05,0.00119169091817
shuttle,0.768385177431,0.0385404693911,0.0170126640307,0.0996499435092,0.216903721901,0.00249391321127,0.00126976666079,0.00617859521899
sonar,0.00239541505127,0.00129023098365,0.00107140419613,0.00298746597081,0.00013929017546,8.31188301984e-05,0.000115415810979,0.000177247918091
spambase,0.0718985030153,0.00291685119187,0.00182913522468,0.00756443329168,0.00465953255514,0.00028594837124,0.000182170108691,0.000795084388749
tic-tac,0.000864664129928,0.00133833155009,0.00108115088987,0.00308331131005,4.42074576199e-05,3.95487207633e-05,3.00866943732e-05,0.000104443305052
vehicle,0.00254388022069,0.00143677349884,0.00109695976025,0.00420557689462,8.48060110633e-05,6.69798424049e-05,4.38980720458e-05,0.000162711961492
vowel,0.00153999129332,0.00145233605054,0.00108232090365,0.00347405143784,0.000109845195849,7.01378984763e-05,4.82242197728e-05,0.000201706701027
waveform-5000,0.02089599792,0.00310382760429,0.00193149774593,0.00762214712923,0.00171496363554,0.00098547730953,0.000167600689846,0.000737520040112
wdbc,0.00233786200509,0.00141158741277,0.00108624147613,0.00465064397798,0.000101047230706,2.84389431168e-05,1.86125912741e-05,0.000439724408936
wpbc,0.00138887819797,0.00129501025045,0.00108182826627,0.0027770550719,4.24914008957e-05,4.08643582199e-05,3.12874820325e-05,0.000121646509683
yeast,0.00153880759517,0.00159503667839,0.00126106958759,0.00341222202551,0.000112841399189,4.7653268391e-05,5.6219757275e-05,0.000174632625916
zoo,0.00052366669318,0.00131778104492,0.00110299798925,0.00542322254979,3.03909369097e-05,5.04492087596e-05,3.11597125891e-05,0.000178001185791
