,,mean,mean,std,std
,,acc,loss,acc,loss
letter,beta2,0.977108517258,0.0694825877898,0.00109527196243,0.00309577699009
letter,isotonic,0.977600078238,0.0702813253283,0.00131708902269,0.00451067781047
letter,sigmoid,0.977328630704,0.0792606388582,0.00123652293213,0.00375450417582
libras-movement,None,0.979466666667,0.0975707533633,0.0133564425587,0.0551925149523
libras-movement,beta,0.979733333333,0.119284871143,0.0136333591138,0.201091393924
libras-movement,beta05,0.98,0.0941836753837,0.0129362644831,0.103675561654
libras-movement,beta2,0.9804,0.127448942358,0.0143117223571,0.185325178326
libras-movement,isotonic,0.9818,0.19584001168,0.0137058505805,0.300989268389
libras-movement,sigmoid,0.9804,0.0833581998636,0.0143117223571,0.0847335700765
lung-cancer,None,0.332,2.76916049022,0.077491699792,0.747277376673
lung-cancer,beta,0.933157894737,0.156019302569,0.0599621113906,0.104409058464
lung-cancer,beta05,0.743526315789,0.636365587801,0.106403875517,0.0568168531213
lung-cancer,beta2,0.931,0.169503009916,0.0593968068666,0.114181821162
lung-cancer,isotonic,0.927947368421,0.334615741318,0.0749033900164,0.81812475728
lung-cancer,sigmoid,0.902842105263,0.171264254656,0.0611196343325,0.0522932285706
mfeat-karhunen,None,0.9914,0.0352591136717,0.00420034012228,0.00943140898575
mfeat-karhunen,beta,0.9919,0.027906890705,0.00427259897964,0.0156038599905
mfeat-karhunen,beta05,0.9913,0.0292827132993,0.00426303523182,0.0153295416308
mfeat-karhunen,beta2,0.99195,0.0295787449005,0.00414316501319,0.0170052228611
mfeat-karhunen,isotonic,0.99195,0.0487291630486,0.00435333557313,0.0567543889472
mfeat-karhunen,sigmoid,0.992,0.0283973806516,0.00428571428571,0.0157478171864
mfeat-morphological,None,0.9985,0.0211170932338,0.00195615199109,0.00849858012812
mfeat-morphological,beta,0.9985,0.0129708710977,0.00195615199109,0.0192156405834
mfeat-morphological,beta05,0.9985,0.0128951189848,0.00195615199109,0.0190824901625
mfeat-morphological,beta2,0.9985,0.0145100331259,0.00195615199109,0.0213316913162
mfeat-morphological,isotonic,0.9985,0.0309605720126,0.00195615199109,0.054905167583
mfeat-morphological,sigmoid,0.9985,0.0127383433358,0.00195615199109,0.0170859638457
mfeat-zernike,None,0.99455,0.0276178869741,0.00348795302814,0.0074613613056
mfeat-zernike,beta,0.99455,0.0217434293789,0.0035243323293,0.0122515948653
mfeat-zernike,beta05,0.99455,0.021361358473,0.00348795302814,0.011754611953
mfeat-zernike,beta2,0.99455,0.0214513869789,0.0035243323293,0.0116553727746
mfeat-zernike,isotonic,0.9946,0.0428379546074,0.00351236881518,0.0414287032102
mfeat-zernike,sigmoid,0.99465,0.0224719206773,0.00353589465629,0.0133503945327
mushroom,None,0.96528814916,0.114548034211,0.00399730133832,0.0127942707535
mushroom,beta,0.968586717433,0.0945316494085,0.0042028913984,0.00991805974741
mushroom,beta05,0.965202078623,0.100075622294,0.0039598953872,0.0103454673698
mushroom,beta2,0.965423571669,0.111217376842,0.00394008278703,0.015292613428
mushroom,isotonic,0.968882389962,0.0928512026274,0.00412692097835,0.0138443589274
mushroom,sigmoid,0.965534318201,0.107506725561,0.00388572972613,0.0114071207593
optdigits,None,0.988932545298,0.0348936105672,0.00280716640916,0.00518403525505
optdigits,beta,0.988932529117,0.0325983511136,0.00291447444381,0.00633353721264
optdigits,beta05,0.988932624298,0.0325745293045,0.0028920835942,0.00640029420954
optdigits,beta2,0.988986164119,0.0326554795783,0.00279368264833,0.00624128588876
optdigits,isotonic,0.98896821056,0.0391644680866,0.0029341620202,0.0161366669551
optdigits,sigmoid,0.98884318067,0.0372921669164,0.00278044326843,0.00803152098727
page-blocks,None,0.94973429072,0.150709760917,0.00496814626404,0.0146967028507
page-blocks,beta,0.949533644026,0.147471773958,0.00558452016772,0.0131608215411
page-blocks,beta05,0.949606353148,0.148110880178,0.00489881046719,0.0126225613337
page-blocks,beta2,0.949679596465,0.151280579371,0.00485379115313,0.014962635565
page-blocks,isotonic,0.950190695446,0.156575657013,0.00519365125569,0.0331878811873
page-blocks,sigmoid,0.949862495665,0.154296235494,0.00487587919963,0.012953654867
pendigits,None,0.992822374548,0.0268366981373,0.0015562890154,0.00236944099838
pendigits,beta,0.9930406763,0.0208260215147,0.00160442354631,0.00400732756413
pendigits,beta05,0.992840535661,0.0211114928856,0.00151668385282,0.00399720787201
pendigits,beta2,0.992904271315,0.0208977778955,0.00159295662708,0.00407365897543
pendigits,isotonic,0.992876969585,0.0272550107498,0.00163152393643,0.0105895362164
pendigits,sigmoid,0.993022486229,0.0221283307733,0.00153540027485,0.00462640026569
scene-classification,None,0.807683780333,0.462589759327,0.016161942251,0.0462764401933
scene-classification,beta,0.804572952341,0.415275293312,0.00867678067433,0.0146233428684
scene-classification,beta05,0.812918820073,0.421241044485,0.0159535096846,0.0181048644416
scene-classification,beta2,0.804490398993,0.415041897319,0.00942108853998,0.0146807462048
scene-classification,isotonic,0.80930756255,0.418008023275,0.0118349243653,0.0255916129758
scene-classification,sigmoid,0.810719561526,0.425239779674,0.0115537033775,0.0139013951419
segment,None,0.996493506494,0.0406624333607,0.00243043458418,0.00622507251318
segment,beta,0.99645021645,0.0265765362175,0.00285952455701,0.0213142153015
segment,beta05,0.99645021645,0.025943687811,0.00250291977054,0.0198606425986
segment,beta2,0.996493506494,0.0228199741896,0.00269176588656,0.0137385257827
segment,isotonic,0.996363636364,0.0483138942481,0.00260328573653,0.053066395042
segment,sigmoid,0.996406926407,0.0216237159638,0.00271722050387,0.0132445011513
shuttle,None,0.96842757469,0.0989627883223,0.00112530470262,0.00315781054415
shuttle,beta,0.976482750532,0.0893996092242,0.000966152244268,0.00340729283157
shuttle,beta05,0.968431515189,0.0921252917644,0.00113310088509,0.00314767510475
shuttle,beta2,0.96836944928,0.098775325303,0.00107556649005,0.00326179216968
