,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
letter,0.0185810833786,0.0184663582783,0.0185154176675,0.0185193069886,0.0189342984326,0.000740883177846,0.000769764619318,0.000759943212327,0.000758319984526,0.000919323902508
libras-movement,0.0177806515496,0.0161528502332,0.0160705404568,0.0177321874263,0.0157993070426,0.00870439989972,0.00987507332939,0.0101395322375,0.00969122935835,0.0100282723035
lung-cancer,0.524741332306,0.0497584294302,0.220156046465,0.0515195587116,0.0575116522504,0.0616953681612,0.0359225546015,0.0255919967719,0.0376249980276,0.0193335474121
mfeat-karhunen,0.00748356669606,0.00625096057755,0.00669965952008,0.00646198601582,0.00627536820067,0.00258707123029,0.00311855244125,0.00304887957554,0.00303212375862,0.00324288935603
mfeat-morphological,0.00180385677026,0.00152308431487,0.00150009174982,0.00152439835826,0.00152326276942,0.00189064255017,0.00193496274398,0.0019514222561,0.00193722655225,0.00193508782573
mfeat-zernike,0.00547683199104,0.0047940729804,0.00468585386875,0.00471686838437,0.00474302268636,0.00219512779602,0.00280725284602,0.00275093018246,0.00262347114929,0.00291806259383
mushroom,0.0285342895849,0.0250892270883,0.0274148159375,0.0275544411,0.0274361787792,0.00263528971119,0.00277050339836,0.00286837394012,0.00270865566487,0.00302890614355
optdigits,0.00876709537295,0.00854062004086,0.00852967690989,0.0085277047506,0.00878472824892,0.00163801256838,0.00182117622388,0.00180661909876,0.00178222746946,0.00208309959778
page-blocks,0.0392017086818,0.0391723115847,0.0394686434712,0.0392861285254,0.0399122677053,0.00338945511551,0.0034311044493,0.0032476908084,0.00340218623966,0.00384765379261
pendigits,0.006175886468,0.00526739181311,0.00535985650043,0.00527765163681,0.00538159694441,0.00081240150716,0.00100676544824,0.00101877251164,0.00100430689801,0.00114283553944
scene-classification,0.138318047669,0.133346354581,0.135312340059,0.133189244046,0.134275459857,0.010426402532,0.00489442491798,0.00599104796752,0.00507658289945,0.00561867339761
segment,0.00634466806423,0.00367033280341,0.00354915647855,0.00377698535645,0.00353475469823,0.00180750821463,0.00228363502358,0.00224711526807,0.0022413909793,0.00240878508733
shuttle,0.0250669376694,0.0218486512986,0.0242524677045,0.0247624966526,0.0228125832532,0.000509236077405,0.00046546882034,0.00047592718782,0.000513356556901,0.000702088500185
sonar,0.15401191984,0.153459609342,0.153712278434,0.155684359768,0.15489752158,0.0298306310989,0.0225946347323,0.0222839076536,0.0215879081545,0.0233517392434
spambase,0.0599485225645,0.0588416275636,0.0603483113141,0.0612465228604,0.0584968577193,0.00514327192121,0.00508785524139,0.00505962683547,0.00485767141076,0.00622880643702
tic-tac,0.216660946949,0.215890518256,0.216275580414,0.216255095808,0.216227515676,0.00722309242957,0.00561296052193,0.00622901360699,0.00558543556991,0.00561908960257
vehicle,0.0423414031224,0.0371425040184,0.0383793365427,0.0375862558641,0.0380321890844,0.00827657799546,0.0105699572697,0.0110648808443,0.0103403601673,0.0117139160009
vowel,0.0430991721708,0.0411540226717,0.0418852916367,0.0414399440304,0.0410239910556,0.00522600884484,0.0069276295772,0.00640051001495,0.00627181748319,0.00770549822957
waveform-5000,0.101984575933,0.100427708807,0.101701334289,0.101936526958,0.105372148542,0.00631892487366,0.00606898733358,0.00587136050588,0.00615044814355,0.00696440858526
