,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
shuttle,0.0250669376694,0.0247624966526,0.0173828519888,0.0228125832532,0.000509236077405,0.000513356556901,0.000491595234766,0.000702088500185
sonar,0.15401191984,0.155684359768,0.153930105657,0.15489752158,0.0298306310989,0.0215879081545,0.0252495618535,0.0233517392434
spambase,0.0599485225645,0.0612465228604,0.0575045309523,0.0584968577193,0.00514327192121,0.00485767141076,0.00572576037468,0.00622880643702
tic-tac,0.216660946949,0.216255095808,0.213143289394,0.216227515676,0.00722309242957,0.00558543556991,0.00719437376124,0.00561908960257
vehicle,0.0423414031224,0.0375862558641,0.0378254978358,0.0380321890844,0.00827657799546,0.0103403601673,0.0108304004431,0.0117139160009
vowel,0.0430991721708,0.0414399440304,0.0389353606872,0.0410239910556,0.00522600884484,0.00627181748319,0.0075547797968,0.00770549822957
waveform-5000,0.101984575933,0.101936526958,0.100884883951,0.105372148542,0.00631892487366,0.00615044814355,0.0061532715089,0.00696440858526
wdbc,0.0202874841097,0.0194068671342,0.0187518368963,0.0187314803868,0.00780250159338,0.0081525062473,0.00869231199676,0.00890190664207
wpbc,0.152957750652,0.151126110369,0.151739988387,0.15116925958,0.0242668676399,0.0172400056564,0.0231576062763,0.0185071106199
yeast,0.187704585849,0.187668077086,0.18189138072,0.190206021627,0.00924369578488,0.0087304201394,0.00963419455795,0.00900589740962
zoo,0.0021008887677,4.84341550631e-06,0.000431942725694,4.02136757491e-08,0.00133541460721,1.04841526816e-05,0.000683508924388,1.06134231136e-07
