,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
page-blocks,94.973429072,94.9533644026,94.9606353148,94.9679596465,95.0190695446,94.9862495665,0.496814626404,0.558452016772,0.489881046719,0.485379115313,0.519365125569,0.487587919963
pendigits,99.2822374548,99.30406763,99.2840535661,99.2904271315,99.2876969585,99.3022486229,0.15562890154,0.160442354631,0.151668385282,0.159295662708,0.163152393643,0.153540027485
scene-classification,80.7683780333,80.4572952341,81.2918820073,80.4490398993,80.930756255,81.0719561526,1.6161942251,0.867678067433,1.59535096846,0.942108853998,1.18349243653,1.15537033775
segment,99.6493506494,99.645021645,99.645021645,99.6493506494,99.6363636364,99.6406926407,0.243043458418,0.285952455701,0.250291977054,0.269176588656,0.260328573653,0.271722050387
shuttle,96.842757469,97.6482750532,96.8431515189,96.836944928,97.8048270845,96.8480778214,0.112530470262,0.0966152244268,0.113310088509,0.107556649005,0.0834895608309,0.110913852813
sonar,77.5238095238,76.6515139238,77.2776382249,76.9475731302,77.2775842044,77.4772978959,5.65591371823,5.83011822999,6.49282707334,5.94658865586,5.8447419766,5.98814924206
spambase,92.5493106679,92.8580208625,92.5623588875,92.4384716901,92.8906177819,92.6232048951,0.843119805031,0.860474021757,0.808041824839,0.830932590694,0.858766516222,0.86192741422
tic-tac,68.4131632667,67.8899257612,68.4436542626,67.1699106602,68.6422208583,67.6500118118,2.08026784501,1.70999671743,2.22061102805,1.60844959154,2.33943387389,1.84704597938
vehicle,95.2014009678,95.1313076047,95.1783605824,95.1662535956,94.9777970863,95.1895699636,1.77624355853,1.64552485316,1.80531005553,1.70563481431,1.61524524392,1.70420136601
vowel,94.1616161616,94.6565656566,94.1414141414,94.5757575758,95.2828282828,94.7171717172,1.05625340025,1.13204359903,1.08465341835,1.13992547445,1.13443226696,1.1687866309
waveform-5000,85.2198221178,85.4119042399,85.1998521119,85.1978561079,85.3578921719,84.8018877359,1.10014771437,1.14998830678,1.08421214899,1.10880697458,1.23043847168,1.14131339486
wdbc,97.7132743363,97.8356290881,97.7660638707,97.6775682955,97.8194690265,97.6778761062,1.28031112602,1.14350911737,1.19431134074,1.30636597716,1.1535860783,1.25552085998
wpbc,78.7727395412,79.3896761134,78.9309041835,79.021120108,78.8177462888,79.2777327935,4.85523247564,3.67726732951,4.57519240043,3.69879291268,4.38114835674,3.46780689496
yeast,67.8618326965,67.8889733195,67.6537075485,67.7611597123,68.3338857833,67.7952188351,1.95719574813,2.03010232051,1.98567255138,2.18751805412,2.22726098669,2.06444175497
zoo,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
