,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
german,0.247644359249,0.184404461355,0.186081398578,0.189564229466,0.177760916547,0.189618725305,0.000297985511067,0.00722965543156,0.00928445289092,0.00626633441083,0.0081013396902,0.00624153527602
glass,0.232826035151,0.16182507009,0.161978217329,0.167071843699,0.155548232361,0.166949005108,0.00278479926622,0.0185353349266,0.0188012207432,0.0171904134266,0.023000659313,0.0172259627298
heart-statlog,0.235932411065,0.15438009702,0.154563773641,0.155241644845,0.154247169863,0.155203203969,0.00195759393571,0.0203389908274,0.019786271158,0.0189482515218,0.0248075401887,0.01896015051
hepatitis,0.186251456085,0.124242382851,0.124626553208,0.122803166676,0.12231150956,0.122759587013,0.0116697350025,0.0202321631726,0.0213799279336,0.0202411875974,0.0255041233209,0.0203741901533
horse,0.225661325232,0.133100937317,0.137322380683,0.13607097752,0.131780440211,0.135991574233,0.00329209743081,0.0185287932068,0.0178859925789,0.0175173384907,0.0218062352474,0.0175286854
ionosphere,0.171030753465,0.0539592802095,0.0538808892001,0.0541846020011,0.0542107264778,0.0541224543125,0.00665638914729,0.0153360335802,0.0155299201075,0.0150143260843,0.0162691109889,0.0150394911893
iris,4.93038065763e-32,1.85907166304e-10,1.85907166304e-10,1.85909621068e-10,0.0,1.85907377073e-10,0.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,0.207880336223,0.00994439258256,0.00987838092426,0.00994368322826,0.00994495356619,0.0099462857681,0.00273693078884,0.00197922429009,0.00200897170085,0.00196439988996,0.00204621272551,0.00196368231867
letter,0.192939196788,0.00603349692991,0.00602001575807,0.00603369604888,0.00592442636291,0.00604218618036,0.00123907890178,0.000581491807766,0.000590719581525,0.00058085477049,0.000593980217642,0.000577325519291
libras-movement,0.051525172751,0.0211121474895,0.0235294665664,0.0228801629529,0.0208548559162,0.021398071701,0.0101883503966,0.0126759665606,0.0115303085938,0.0124023370254,0.012643443434,0.0123400964312
lung-cancer,0.0266725146199,0.0321490928828,0.0321415352232,0.0320338812581,0.0322700783576,0.0322418340742,0.0238154802088,0.0215346813225,0.0215322997898,0.0215104862029,0.0215994821864,0.0215743927745
mfeat-karhunen,0.137399347449,0.00618423062429,0.00634993917739,0.0063405872959,0.00632326487597,0.00631992453499,0.0090275648944,0.00260198377942,0.00271673922994,0.00257891331932,0.00266330248192,0.00256355242401
mfeat-morphological,0.00919294899848,0.00211325542915,0.00195210468399,0.00210073147647,0.00262226468048,0.00211915955523,0.00408125175048,0.00185145940292,0.0017676979077,0.00182694038837,0.00180263750513,0.00183545639532
mfeat-zernike,0.090899803665,0.00704156172316,0.00705201758361,0.00711226444544,0.00711000904671,0.00708007028917,0.0108471007847,0.00300546064856,0.00305056560419,0.0029306540096,0.00306493767553,0.00293805129366
mushroom,0.174760140595,5.44254227527e-06,5.39170838363e-06,5.43066634293e-06,4.4495417435e-06,5.53252682857e-06,0.00218883265316,3.83841537017e-05,3.80521517588e-05,3.8295555287e-05,2.92926566023e-05,3.90843835847e-05
optdigits,0.192408300391,0.00832336153235,0.00827149413069,0.00841500226953,0.00823572067339,0.00841382481082,0.00460299118196,0.00173514956298,0.00174241521517,0.00171957927096,0.00182932888648,0.00171917743318
page-blocks,0.234629624122,0.0242089359195,0.0238892537646,0.0245297883908,0.0230967222631,0.0245490774226,0.000640861895353,0.0027406003037,0.00284527098231,0.00276041476509,0.00289295415761,0.00275899125521
pendigits,0.144505556483,0.00293163748201,0.00287781375498,0.00298768952605,0.00261650854132,0.00298983627407,0.00459408841888,0.000612660477269,0.000590950554932,0.000617565050995,0.000681267050952,0.000616829610305
scene-classification,0.230758374823,0.122598757864,0.123041452324,0.12623730055,0.120194148886,0.126234085025,0.00282365316703,0.0045023137952,0.00509267601659,0.00400544853603,0.005281787592,0.00399389353215
segment,0.049657277059,0.00200393224786,0.00189503507048,0.00199913074073,0.00202153912731,0.00199045325901,0.00807047285484,0.00144441435502,0.00150067081877,0.00144901809476,0.00137469170979,0.00145295615238
