,,mean,mean,mean,std,std,std
,,acc,brier,loss,acc,brier,loss
dataset,method,,,,,,
cleveland,beta2,0.783628092733,0.15588825372,0.483812704804,0.0504598837387,0.0168924305746,0.0403237751359
cleveland,isotonic,0.785322618352,0.151212700835,0.516107034242,0.0502014236577,0.0212970126086,0.221274146606
cleveland,sigmoid,0.783628092733,0.155854491755,0.483726641344,0.0504598837387,0.0168928126898,0.0403209448847
credit-approval,None,0.842576326981,0.241169404869,0.675466435151,0.0246363888127,0.000895070155821,0.00179602507038
credit-approval,beta,0.839684780868,0.121438546363,0.403290725709,0.0269556779363,0.0129223290391,0.0392030846096
credit-approval,beta05,0.843958557981,0.120967450138,0.402837266319,0.0234993045921,0.0121491354712,0.0376307945944
credit-approval,beta2,0.838772184558,0.12378745145,0.412497760866,0.0273490434567,0.0130512826691,0.0440599636636
credit-approval,isotonic,0.843818662254,0.11543166909,0.426217767891,0.0246135490521,0.0128701976475,0.119084963816
credit-approval,sigmoid,0.838772184558,0.123770605651,0.412430427625,0.0273490434567,0.0130471783077,0.0440235328625
dermatology,None,0.994078507079,0.0062239099943,0.0444596156174,0.0111128190377,0.00923651018921,0.100901761322
dermatology,beta,0.994078507079,0.00637615084383,0.041831894504,0.0111128190377,0.00911012602952,0.0768116750969
dermatology,beta05,0.994078507079,0.00630208815115,0.0411518428793,0.0111128190377,0.00925337824153,0.0740295904482
dermatology,beta2,0.993507078507,0.00657230919336,0.0448354741758,0.0115289091624,0.00925046021962,0.0819054770501
dermatology,isotonic,0.992966537967,0.00692443088044,0.112153661044,0.01184746062,0.00939350287786,0.291883102008
dermatology,sigmoid,0.994078507079,0.00630830461276,0.0508349657628,0.0111128190377,0.00932140497317,0.0960980573684
diabetes,None,0.741152703506,0.245045055233,0.683232006797,0.0287267828831,0.000915710737176,0.00183596136224
diabetes,beta,0.735912061794,0.178156280731,0.537290012098,0.0216648730622,0.00738473404887,0.0201557033795
diabetes,beta05,0.742448858331,0.179452786839,0.542955267873,0.031300176937,0.00851651774185,0.0229564337875
diabetes,beta2,0.72095577625,0.184084413492,0.553880747289,0.026323999613,0.00707959330772,0.0227799854903
diabetes,isotonic,0.739449961803,0.172488733509,0.555806405479,0.0264904623552,0.0106030478853,0.11458058945
diabetes,sigmoid,0.72069603599,0.184059605769,0.553807862503,0.0265846961719,0.00707291134499,0.022743192668
ecoli,None,0.960829465962,0.124953298336,0.427160726821,0.0245004275395,0.020732488027,0.0532060736938
ecoli,beta,0.95724938228,0.0370018161814,0.149359715227,0.0257442858935,0.0191113599228,0.0739305694475
ecoli,beta05,0.957288907972,0.0367304113172,0.146740585503,0.0257169428955,0.0187025163092,0.0653856154874
ecoli,beta2,0.957543227738,0.0367651191586,0.146668228278,0.0256619578886,0.0185515343719,0.0678193044561
ecoli,isotonic,0.957912545548,0.0371090980717,0.278907639206,0.0248512463337,0.018802600946,0.361317087669
ecoli,sigmoid,0.957833082811,0.0366433726768,0.146356542426,0.0252272363947,0.018770792449,0.0687698587742
flare,None,0.821447998833,0.22732195682,0.646008091267,0.0126720636557,0.00561387133292,0.0126342293372
flare,beta,0.822598135272,0.133306840061,0.414842532828,0.0113490714563,0.0080612715799,0.0213694462102
flare,beta05,0.821447252809,0.138533127236,0.43260185213,0.0125058327112,0.0103039892351,0.0327044037829
flare,beta2,0.822598135272,0.133447175166,0.415391956049,0.0113490714563,0.00796269079929,0.0210401458287
flare,isotonic,0.821949824104,0.131445753926,0.425917586404,0.0126383595797,0.00911599160542,0.0770215662296
flare,sigmoid,0.822598135272,0.133459220393,0.415528153249,0.0113490714563,0.00797956087982,0.0211828220115
german,None,0.7381,0.247644359249,0.688434473072,0.0247000371808,0.000297985511067,0.000596593789452
german,beta,0.7153,0.184404461355,0.550423836047,0.020883789241,0.00722965543156,0.0181665405905
german,beta05,0.7386,0.186081398578,0.556752957145,0.0245789025178,0.00928445289092,0.0232709365227
german,beta2,0.706,0.189564229466,0.562881158526,0.0116057691495,0.00626633441083,0.0160514303056
german,isotonic,0.7347,0.177760916547,0.541918096361,0.019676205458,0.0081013396902,0.0419237745985
german,sigmoid,0.7056,0.189618725305,0.562995507222,0.0115458270578,0.00624153527602,0.0159718027049
glass,None,0.804604483372,0.232826035151,0.658698776018,0.0491936916845,0.00278479926622,0.0056080796511
glass,beta,0.791680089936,0.16182507009,0.501759329312,0.0560766863676,0.0185353349266,0.0436067532048
glass,beta05,0.799783952482,0.161978217329,0.503853242738,0.0480768762089,0.0188012207432,0.0446988405902
glass,beta2,0.784213530655,0.167071843699,0.516054047864,0.0434312171606,0.0171904134266,0.0436611176524
glass,isotonic,0.795177707306,0.155548232361,0.524349291439,0.0507377692239,0.023000659313,0.186110826566
glass,sigmoid,0.7851579751,0.166949005108,0.515745711099,0.0438613596527,0.0172259627298,0.043719113034
heart-statlog,None,0.790740740741,0.235932411065,0.664961646291,0.0534692670143,0.00195759393571,0.00393319983492
heart-statlog,beta,0.782222222222,0.15438009702,0.479306088019,0.0508267088191,0.0203389908274,0.050852988877
