,,mean,mean,mean,std,std,std
,,acc,brier,loss,acc,brier,loss
dataset,method,,,,,,
cleveland,beta2,0.822792324177,0.13043392931,0.415361598104,0.0421912229798,0.0189816060655,0.0485448408368
cleveland,isotonic,0.820464640561,0.129659835207,0.522521194496,0.0412438880165,0.0204553139988,0.248275282878
cleveland,sigmoid,0.821763880771,0.133316537192,0.4292110602,0.0437873816579,0.0218116680906,0.0519185133174
credit-approval,None,0.866165803662,0.0999312625243,0.359938399007,0.0276618935165,0.0177894634317,0.0803355860859
credit-approval,beta,0.863105268777,0.101063901253,0.340702097195,0.0245725292168,0.0146512467154,0.0453647686003
credit-approval,beta05,0.865698428798,0.10061453732,0.339237131257,0.0256986036364,0.0144670721,0.0435568304949
credit-approval,beta2,0.86463082973,0.100560956896,0.337899088809,0.0250519493558,0.0143300897018,0.0424632733239
credit-approval,isotonic,0.863416359722,0.100806386465,0.444110340019,0.025443850039,0.0157687729075,0.22860954961
credit-approval,sigmoid,0.864944376234,0.100393987776,0.337550985588,0.0275349310719,0.0156823530828,0.0414448271276
dermatology,None,0.99638009438,0.00333867002451,0.0358817591451,0.00681184787168,0.00477133528077,0.107704367104
dermatology,beta,0.99610982411,0.00314914047447,0.0187707277364,0.00693231086044,0.00466914136416,0.0351396584404
dermatology,beta05,0.99638009438,0.00328426690591,0.0199383769963,0.00681184787168,0.00472446435188,0.0349245719103
dermatology,beta2,0.99610982411,0.00313425638681,0.0186886511912,0.00693231086044,0.00468613457198,0.0351199281757
dermatology,isotonic,0.99610982411,0.00300805428718,0.0350466322377,0.00693231086044,0.00469004733828,0.107162702788
dermatology,sigmoid,0.99610982411,0.00315633110002,0.0208613712646,0.00693231086044,0.0045620919857,0.0375927055724
diabetes,None,0.755728715729,0.163957534215,0.505827772536,0.0317560930235,0.0165580925199,0.050096133237
diabetes,beta,0.752344452933,0.160150290509,0.483790317482,0.0320913992231,0.0113143085051,0.0279332920402
diabetes,beta05,0.754043799338,0.159915938293,0.48320363474,0.0314159114982,0.011200538898,0.0275630346264
diabetes,beta2,0.75326288091,0.160095760747,0.484450175737,0.031098484131,0.0110664325947,0.0265435513954
diabetes,isotonic,0.754161785926,0.160703824968,0.524788512973,0.0298649462953,0.0125004023501,0.0992510139946
diabetes,sigmoid,0.751959086665,0.162532972204,0.49516018058,0.0311611739412,0.0122781886119,0.0279438978772
ecoli,None,0.958149838862,0.036186709385,0.326154302381,0.0276583622793,0.021669568259,0.372401349901
ecoli,beta,0.956998810697,0.0365266289416,0.144988828945,0.0283394197579,0.0198726677028,0.072278048756
ecoli,beta05,0.958163014093,0.035720534878,0.142257934003,0.0265756084761,0.0190632633161,0.0680722397704
ecoli,beta2,0.957881672246,0.035886381792,0.14249687978,0.027572408841,0.0190670434868,0.0680914910195
ecoli,isotonic,0.956945559257,0.0370594369183,0.223884177401,0.0266932593723,0.0194544423843,0.268874338743
ecoli,sigmoid,0.956393270622,0.0372602121121,0.1590249695,0.028633942644,0.0204237604767,0.0727875025068
flare,None,0.822963537678,0.129752444063,0.404031791989,0.0112217259749,0.00811493773551,0.023037610855
flare,beta,0.822891073909,0.129730207241,0.404140021029,0.0114023815458,0.00824515798168,0.022758996398
flare,beta05,0.822963537678,0.129850688159,0.404224265781,0.0112217259749,0.0079483477434,0.021820317388
flare,beta2,0.822963537678,0.12982158052,0.404174668392,0.0112217259749,0.00800444773126,0.0223928211786
flare,isotonic,0.822166436228,0.131210879484,0.421008492357,0.0115673600613,0.0088288775042,0.0476096521604
flare,sigmoid,0.820794299716,0.1300667132,0.40781538413,0.012510527857,0.00878541015693,0.0241021787119
german,None,0.7621,0.16631531303,0.510798447457,0.0199000051277,0.0111929621738,0.0375338639489
german,beta,0.7564,0.166847133163,0.506155814443,0.0198987231669,0.00863522543639,0.0234416632201
german,beta05,0.7628,0.166852833692,0.506223102031,0.0172070227713,0.00904202641081,0.0246647419598
german,beta2,0.7558,0.166679126141,0.505449628733,0.020136270453,0.00849670915985,0.0230368448239
german,isotonic,0.7582,0.167431962424,0.538289975026,0.0195030086638,0.00941402951955,0.102044428482
german,sigmoid,0.7588,0.166092648005,0.505937340493,0.0183658956343,0.00846611253887,0.0207389240576
glass,None,0.805083593409,0.157524540989,0.696388745319,0.0481291472561,0.0368170400819,0.265966431309
glass,beta,0.796710359408,0.156986210976,0.489057850825,0.0488804160907,0.0227700331267,0.0586939295955
glass,beta05,0.79929556361,0.156534787963,0.488504440319,0.0401712820704,0.022327790093,0.0590431788289
glass,beta2,0.802232256116,0.157413792878,0.490374079386,0.0460672739914,0.0215668403051,0.0574194155717
glass,isotonic,0.795636330078,0.153045439818,0.560423794606,0.046528178682,0.0258474456812,0.268897871566
glass,sigmoid,0.804362881305,0.154458309929,0.484784561232,0.0485662339567,0.0225912407596,0.0543949936267
heart-statlog,None,0.813333333333,0.14116348788,0.569844827322,0.0522230531232,0.0359453383612,0.212458858643
heart-statlog,beta,0.814444444444,0.134452929201,0.426804719199,0.0454364598014,0.0230423854312,0.0619655379939
